Ign;Bothrops;Crotalus;Micrurus;Lachesis;Nao _pec;Total;veg
25;0;0;0;0;1;26;Floresta Estacional Semidecidual
50;0;0;0;0;4;54;Floresta Estacional Semidecidual
61;5;0;0;0;0;66;Floresta Estacional Semidecidual
463;40;0;0;0;0;503;Floresta Ombrofila Mista
782;1;0;0;0;3;786;Floresta Ombrofila Mista
44;0;0;0;0;1;45;Floresta Ombrofila Mista
224;5;2;0;0;2;233;Floresta Estacional Semidecidual
1420;98;1;0;0;6;1525;Estepe
593;46;3;0;0;3;645;Floresta Ombrofila Mista
247;5;1;0;0;0;253;Floresta Ombrofila Mista
393;96;11;0;0;11;511;Floresta Ombrofila Mista
8;0;1;0;0;0;9;Floresta Estacional Semidecidual
117;1;1;0;0;6;125;Floresta Estacional Semidecidual
86;26;0;0;0;0;112;Floresta Estacional Semidecidual
10190;87;14;0;0;19;10310;Estepe
1084;7;0;0;0;9;1100;Floresta Ombrofila Densa
128;1;3;0;0;1;133;Floresta Estacional Semidecidual
270;2;1;0;0;1;274;Estepe
119;0;0;0;0;1;120;Floresta Ombrofila Mista
170;3;0;0;0;3;176;Floresta Estacional Semidecidual
158;3;0;0;0;0;161;Floresta Ombrofila Mista
96;0;0;0;0;0;96;Floresta Estacional Semidecidual
277;48;0;1;0;5;331;Floresta Ombrofila Mista
58;1;0;0;0;0;59;Floresta Estacional Semidecidual
699;224;0;1;0;6;930;Floresta Ombrofila Mista
26;0;3;0;0;0;29;Floresta Estacional Semidecidual
53;0;2;0;0;2;57;Floresta Estacional Semidecidual
111;0;0;0;0;0;111;Floresta Ombrofila Mista
33;0;0;0;0;0;33;Floresta Estacional Semidecidual
722;65;11;0;0;9;807;Floresta Estacional Semidecidual
343;26;12;0;0;7;388;Floresta Estacional Semidecidual
149;3;4;0;0;2;158;Floresta Estacional Semidecidual
1361;60;2;0;0;8;1431;Floresta Ombrofila Mista
18;0;1;0;0;1;20;Floresta Estacional Semidecidual
83;2;2;0;0;3;90;Floresta Estacional Semidecidual
9;1;0;0;0;0;10;Floresta Estacional Semidecidual
437;16;0;1;0;7;461;Floresta Estacional Semidecidual
782;33;0;0;0;6;821;Floresta Ombrofila Mista
278;6;0;0;0;8;292;Floresta Ombrofila Mista
151;55;11;0;0;1;218;Floresta Ombrofila Mista
314;3;1;0;0;0;318;Floresta Ombrofila Mista
377;9;5;0;0;2;393;Floresta Estacional Semidecidual
233;19;3;0;0;5;260;Floresta Estacional Semidecidual
695;68;2;0;0;1;766;Floresta Ombrofila Mista
138;1;3;0;0;1;143;Floresta Estacional Semidecidual
743;10;0;0;0;7;760;Floresta Estacional Semidecidual
22;1;0;1;0;3;27;Floresta Ombrofila Mista
880;54;11;0;0;4;949;Savana
1125;26;1;0;0;2;1154;Floresta Ombrofila Mista
219;3;2;0;0;4;228;Floresta Estacional Semidecidual
140;32;8;0;0;1;181;Floresta Ombrofila Mista
43;1;1;0;0;1;46;Floresta Estacional Semidecidual
87;11;9;0;0;3;110;Floresta Estacional Semidecidual
37;4;1;0;0;3;45;Floresta Estacional Semidecidual
321;2;0;0;0;2;325;Floresta Ombrofila Mista
42;7;3;0;0;0;52;Floresta Estacional Semidecidual
286;7;0;0;0;3;296;Floresta Ombrofila Mista
47;5;0;0;0;0;52;Floresta Estacional Semidecidual
30;0;2;0;0;1;33;Floresta Estacional Semidecidual
61;1;1;0;0;0;63;Floresta Estacional Semidecidual
151;0;1;0;0;1;153;Floresta Estacional Semidecidual
48;0;0;0;0;0;48;Floresta Estacional Semidecidual
155;0;0;0;0;0;155;Floresta Estacional Semidecidual
458;15;0;0;0;5;478;Floresta Estacional Semidecidual
163;1;1;0;0;0;165;Floresta Estacional Semidecidual
271;34;3;0;0;1;309;Floresta Ombrofila Mista
75;1;2;0;0;1;79;Floresta Estacional Semidecidual
10;0;0;0;0;1;11;Floresta Estacional Semidecidual
184;4;0;0;0;3;191;Floresta Estacional Semidecidual
245;6;0;0;0;5;256;Floresta Estacional Semidecidual
75;4;0;0;0;2;81;Savana
90;8;3;1;0;2;104;Floresta Estacional Semidecidual
324;0;0;0;0;2;326;Floresta Estacional Semidecidual
20;4;1;0;0;1;26;Floresta Estacional Semidecidual
103;11;0;0;0;1;115;Floresta Ombrofila Mista
36;0;0;0;0;0;36;Floresta Estacional Semidecidual
108;0;0;0;0;0;108;Floresta Estacional Semidecidual
135;25;3;0;0;2;165;Floresta Ombrofila Mista
573;22;0;0;0;4;599;Floresta Ombrofila Mista
230;0;0;0;0;0;230;Floresta Estacional Semidecidual
307;0;5;0;0;3;315;Floresta Estacional Semidecidual
535;66;0;0;0;2;603;Floresta Ombrofila Mista
307;17;1;0;0;2;327;Floresta Estacional Semidecidual
38;1;0;0;0;0;39;Floresta Estacional Semidecidual
54;3;3;0;0;1;61;Floresta Estacional Semidecidual
52;4;1;0;0;1;58;Savana
11;1;0;1;0;0;13;Floresta Estacional Semidecidual
2993;66;0;0;0;10;3069;Floresta Ombrofila Mista
13;0;0;0;0;0;13;Floresta Estacional Semidecidual
1354;103;0;0;0;3;1460;Floresta Ombrofila Mista
364;14;4;1;0;6;389;Floresta Estacional Semidecidual
18;1;0;0;0;0;19;Floresta Estacional Semidecidual
21;1;1;0;0;0;23;Floresta Estacional Semidecidual
6;0;0;0;0;0;6;Floresta Estacional Semidecidual
120;1;2;0;0;4;127;Floresta Estacional Semidecidual
41;0;0;0;0;1;42;Floresta Estacional Semidecidual
42;13;10;0;0;1;66;Floresta Ombrofila Mista
218;2;0;0;0;2;222;Floresta Estacional Semidecidual
519;1;2;0;0;5;527;Floresta Estacional Semidecidual
140;7;6;0;0;1;154;Savana
95;0;0;0;0;1;96;Floresta Estacional Semidecidual
203;0;2;0;0;0;205;Floresta Estacional Semidecidual
606;5;0;0;0;3;614;Floresta Estacional Semidecidual
125;11;7;0;0;1;144;Floresta Ombrofila Mista
515;1;0;0;0;4;520;Floresta Ombrofila Mista
1204;25;6;0;0;8;1243;Floresta Ombrofila Mista
69;0;0;0;0;1;70;Floresta Estacional Semidecidual
91;2;2;0;0;1;96;Floresta Estacional Semidecidual
8;0;0;0;0;0;8;Floresta Estacional Semidecidual
672;23;1;0;0;7;703;Floresta Ombrofila Mista
744;106;16;1;0;3;870;Savana
159;3;1;0;0;5;168;Floresta Estacional Semidecidual
129;1;3;0;0;0;133;Floresta Estacional Semidecidual
42;6;7;0;0;1;56;Floresta Estacional Semidecidual
713;23;6;0;0;0;742;Savana
1187;48;0;0;0;0;1235;Floresta Ombrofila Mista
539;48;49;1;0;36;673;Floresta Ombrofila Mista
23;11;8;0;0;0;42;Floresta Estacional Semidecidual
462;17;18;0;0;2;499;Floresta Estacional Semidecidual
119;12;2;1;0;0;134;Savana
8;2;1;0;0;0;11;Floresta Estacional Semidecidual
45;0;0;1;0;0;46;Floresta Ombrofila Mista
942;54;0;0;0;9;1005;Floresta Ombrofila Mista
225;6;9;0;0;4;244;Floresta Estacional Semidecidual
186;36;38;1;0;6;267;Floresta Estacional Semidecidual
1282;62;0;0;0;6;1350;Floresta Ombrofila Mista
10;0;0;0;0;1;11;Floresta Estacional Semidecidual
45;0;5;0;0;1;51;Floresta Estacional Semidecidual
171;7;2;0;0;0;180;Floresta Ombrofila Mista
159;1;3;1;0;2;166;Floresta Ombrofila Mista
712;12;0;0;0;4;728;Floresta Estacional Semidecidual
141;0;0;0;0;1;142;Floresta Ombrofila Mista
580;3;0;0;0;2;585;Floresta Ombrofila Mista
163;16;3;1;0;0;183;Floresta Ombrofila Mista
31;0;0;0;0;1;32;Floresta Estacional Semidecidual
